sku,category,brand,warehouse_zone,supplier,supplier_contact,last_sale_date,last_audit_date,restock_date,stock_on_hand,units_sold_30d,sell_through_rate,unit_cost_inr,mrp_inr,reorder_point,lead_time_days,is_active
HOM-87767,Home & Kitchen,UrbanWave,ZONE D,FastShip Pvt,,2024-09-17,,2026-09-07,468.0,176,0.07630342313411975,7272.0,17225.272329418814,13.0,12,True
ELE-65520,Electronics,SwiftBrand,Zone A,LocalSource,contact507@localsource.com,2024-05-13,2026-02-10,2026-08-28,101.0,196,0.9300617066523156,5224.0,12240.894032084836,136.0,22,True
HOM-66932,Home & Kitchen,SwiftBrand,Zone A,DirectImport,contact453@directimport.com,2024-11-20,2025-05-06,2026-08-01,266.0,247,0.8668565696742169,5915.0,10558.377045231244,179.0,22,True
BEA-62035,Beauty,CorePeak,Zone D,PrimeParts,contact920@primeparts.com,2024-10-20,2026-02-14,2026-08-24,436.0,109,0.45369658292991055,796.0,1305.6391342648524,189.0,33,True
BEA-65281,Beauty,GenericPlus,Zone C,PrimeParts,contact848@primeparts.com,2024-10-11,2025-10-20,2026-06-27,83.0,30,0.8484285217496328,7419.0,12405.397332732833,56.0,23,False
SPO-24184,Sports & Outdoors,UrbanWave,ZONE B,GlobalTrade Ltd,contact516@globaltradeltd.com,2024-06-15,2025-10-08,2026-05-29,369.0,104,0.26877856247496423,4586.0,9694.326399684665,,43,True
BEA-12954,Beauty,UrbanWave,ZONE C,SupplyCo India,contact893@supplycoindia.com,2024-08-31,2025-11-16,2026-09-17,383.0,294,0.5236748487919239,1917.0,4171.626249504475,,31,True
AUT-60857,Automotive,NovaLine,zone a,PrimeParts,contact457@primeparts.com,2024-05-05,2026-01-30,2026-06-28,38.0,34,0.5124433839895297,177.0,538.9729795804059,141.0,16,True
HOM-96039,Home & Kitchen,SwiftBrand,Zone C,QuickStock,contact453@quickstock.com,2024-07-31,,2026-07-15,284.0,251,0.4185006118455923,4056.0,13731.846282289214,12.0,30,True
BEA-86277,Beauty,CorePeak,Zone A,LocalSource,contact782@localsource.com,2024-08-10,2025-10-20,2026-06-21,479.0,193,0.6217252574600727,3285.0,10958.738855231577,180.0,6,True
BEA-36567,Beauty,ZenCraft,zone b,PrimeParts,contact578@primeparts.com,2024-06-15,2025-11-10,2026-06-12,280.0,48,0.8555647141426097,0.0,0.0,141.0,31,True
HOM-59332,Home & Kitchen,AlphaEdge,Zone D,SupplyCo India,contact985@supplycoindia.com,2024-06-01,2025-04-08,2026-08-11,255.0,39,0.6513245763245861,5463.0,10311.988591501842,102.0,20,False
HOM-95158,Home & Kitchen,TrueForm,Zone A,PrimeParts,contact717@primeparts.com,2024-06-25,2025-07-05,2026-09-06,372.0,83,0.9309658074705489,1052.0,2149.905055384133,62.0,30,False
HOM-86318,Home & Kitchen,TrueForm,Zone D,PrimeParts,contact176@primeparts.com,2024-09-22,2025-06-25,2026-09-08,330.0,213,0.3289776566887248,6296.0,17383.46531526888,23.0,17,True
AUT-49865,Automotive,SwiftBrand,Zone B,QuickStock,contact103@quickstock.com,2024-05-23,2025-09-24,2026-07-23,152.0,97,0.7532580990468012,6978.0,23399.425321318497,177.0,22,True
